word,translation,sentence
Background,Experiência/Histórico,Tell me about your professional background.
Strengths,Pontos fortes,What are your main strengths?
Weaknesses,Pontos fracos,What is your greatest weakness?
Achievement,Conquista,What is your biggest professional achievement?
Goals,Objetivos,Where do you see yourself in five years?
Skills,Habilidades,I have strong communication skills.
Leadership,Liderança,I have experience in leadership roles.
Challenge,Desafio,I am looking for a new challenge.
Teamwork,Trabalho em equipe,I am a great teamwork player.
Management,Gerenciamento,I have experience in project management.
